,precision,recall,f1-score,support
Boldogko_Castle,0.6667,0.6667,0.6667,15.0
Buda_Castle,0.7895,0.75,0.7692,20.0
Budapest_Museum_of_Applied_Arts,0.8462,0.9167,0.88,12.0
Budapest_University_of_Technology_and_Economics,0.625,0.3846,0.4762,13.0
Chain_Bridge_(Budapest),0.7273,0.8889,0.8,18.0
Csesznek_Castle,0.8,0.6,0.6857,20.0
Debrecen_Reformed_Great_Church,0.6667,1.0,0.8,6.0
Diosgyor_Castle,1.0,0.3636,0.5333,11.0
Edeleny_L’Huillier_Coburg_Castle,0.6667,0.4,0.5,5.0
Eger_Castle,0.6667,0.5455,0.6,11.0
Esztergom_Castle,0.2308,0.375,0.2857,8.0
Esztergom_Cathedral,0.8095,0.8947,0.85,19.0
Fertod_Esterhazy_Castle,0.6667,0.6667,0.6667,9.0
Fisherman's_Bastion,0.8636,0.7917,0.8261,24.0
Füzer_Castle,1.0,1.0,1.0,4.0
Fuzerradvany_Karolyi_Castle,0.2,0.6667,0.3077,3.0
Gellért_Baths,0.5714,0.5,0.5333,8.0
Godollo_Grassalkovich_Castle,0.0,0.0,0.0,4.0
Great_Synagogue_in_Dohány_Street,0.92,0.92,0.92,25.0
Gyula_Castle,1.0,0.4,0.5714,5.0
Heroes'_Square_(Budapest),1.0,0.8667,0.9286,15.0
Heviz_Thermal_Lake,0.8,1.0,0.8889,4.0
Holloko_Castle,0.5556,0.4167,0.4762,12.0
Hortobagy_Nine_Hole_Bridge,1.0,0.6,0.75,5.0
Hungarian_Parliament_Building,0.7895,0.75,0.7692,20.0
Hungarian_State_Opera_House,0.8846,0.8519,0.8679,27.0
Jak_Church,0.8,0.8,0.8,5.0
Jurisics_Castle,0.5833,0.7778,0.6667,9.0
Keszthely_Festetics_Palace,0.3333,0.6667,0.4444,6.0
Kinizsi_Castle,0.6364,0.7778,0.7,9.0
Lillafured_Palace_Hotel,1.0,0.25,0.4,4.0
Mako_Hagymatikum,0.6364,1.0,0.7778,7.0
Martonvasar_Brunszvik_Castle,0.5,0.3333,0.4,3.0
Matthias_Church_(Budapest),0.8,0.7059,0.75,17.0
Nadasdladany_Nadasy_Castle,0.0,0.0,0.0,2.0
New_York_Palace_(Budapest),0.875,1.0,0.9333,14.0
Pecs_Mosque,0.8,0.4,0.5333,10.0
Rakoczi_Castle,0.3333,0.25,0.2857,8.0
Simontornya_Castle,0.0,0.0,0.0,3.0
Siofok_Water_Tower,1.0,1.0,1.0,2.0
Sirok_Castle,0.375,0.5455,0.4444,11.0
St._Stephen's_Basilica_(Budapest),0.7391,0.8947,0.8095,19.0
Sumeg_Castle,0.2353,0.5714,0.3333,7.0
Szabadkigyos_Wenckheim_Castle,1.0,0.5,0.6667,2.0
Szeged_Cathedral,0.8077,0.8077,0.8077,26.0
Szigliget_Castle,0.75,0.375,0.5,16.0
Tata_Castle,0.6364,0.4375,0.5185,16.0
Thury_Castle,1.0,0.5,0.6667,2.0
Tiszadob_Andrassy_Castle,1.0,1.0,1.0,4.0
Tura_Schossberger_Castle,0.6667,0.75,0.7059,8.0
Vajdahunyad_Castle_(Budapest),0.7,0.8235,0.7568,17.0
Visegrad_Castle,0.6111,0.7333,0.6667,15.0
accuracy,0.6956,0.6956,0.6956,0.6956
macro avg,0.6839,0.6368,0.6331,565.0
weighted avg,0.7298,0.6956,0.6953,565.0
